line_no,file_name,self_id,cue,sequence,waveform,awb_stream,character_name,role,gender,voice_target,reference_audio,thai_text,pronunciation_note,prosody_note,status,tts_text,voice_project
1,MS19B_X43_A0_0010_F_ANA_0010.wav,MS19B_X43_A0_0010_F_ANA_0010,0,0,0,1,Anna,main,female,anna,assets/triangle-strategy/approved_voice_references/anna.wav,ฝ่าบาท ข้าจับคนร้ายที่ขโมยและสังหารพ่อค้าเกลือได้แล้วเจ้าค่ะ,,,PENDING_MANUAL_GENERATION,,triangle-strategy
2,MS19B_X43_A0_0010_F_ANA_0020.wav,MS19B_X43_A0_0010_F_ANA_0020,1,1,1,2,Anna,main,female,anna,assets/triangle-strategy/approved_voice_references/anna.wav,เขาผู้นั้นคือชาวโรเซลล์ที่อาศัยอยู่ในเมืองเก่า เขารับสารภาพและอ้างว่าทำไปเพื่อหาเลี้ยงครอบครัว,,,PENDING_MANUAL_GENERATION,,triangle-strategy
3,MS19B_X43_A0_0010_F_ANA_0030.wav,MS19B_X43_A0_0010_F_ANA_0030,2,2,2,3,Anna,main,female,anna,assets/triangle-strategy/approved_voice_references/anna.wav,รับทราบเจ้าค่ะ,,,PENDING_MANUAL_GENERATION,,triangle-strategy
4,MS19B_X43_A0_0010_F_FRE_0010.wav,MS19B_X43_A0_0010_F_FRE_0010,3,3,3,4,Frederica,main,female,frederica,assets/triangle-strategy/approved_voice_references/frederica.wav,คนร้ายจากเมืองเก่าอีกแล้วงั้นเหรอ...​ ครั้งนี้เป็นชาวโรเซลล์ซะด้วย...,,,PENDING_MANUAL_GENERATION,,triangle-strategy
5,MS19B_X43_A0_0010_F_FRE_0020.wav,MS19B_X43_A0_0010_F_FRE_0020,4,4,4,5,Frederica,main,female,frederica,assets/triangle-strategy/approved_voice_references/frederica.wav,ฝ่าบาท...นี่มันปัญหาเรื่อรังนะเจ้าคะ หากเราไม่ช่วยคนจน สุดท้ายก็จะมีอาชญากรรมเกิดขึ้นเรื่อยๆ ไม่จบไม่สิ้น,,,PENDING_MANUAL_GENERATION,,triangle-strategy
6,MS19B_X43_A0_0010_F_FRE_0030.wav,MS19B_X43_A0_0010_F_FRE_0030,5,5,5,6,Frederica,main,female,frederica,assets/triangle-strategy/approved_voice_references/frederica.wav,ทุกวันนี้ยังมีคนอคติชาวโรเซลล์อยู่ ซึ่งมันบีบบังคับให้พวกเขามีชีวิตที่ตรากตรำ,,,PENDING_MANUAL_GENERATION,,triangle-strategy
7,MS19B_X43_A0_0010_F_FRE_0040.wav,MS19B_X43_A0_0010_F_FRE_0040,6,6,6,7,Frederica,main,female,frederica,assets/triangle-strategy/approved_voice_references/frederica.wav,เราต้องหาวิธีบรรเทาทุกข์พวกเขาให้ได้,,,PENDING_MANUAL_GENERATION,,triangle-strategy
8,MS19B_X43_A0_0010_F_FRE_0050.wav,MS19B_X43_A0_0010_F_FRE_0050,7,7,7,8,Frederica,main,female,frederica,assets/triangle-strategy/approved_voice_references/frederica.wav,...ก็ได้เจ้าค่ะ,,,PENDING_MANUAL_GENERATION,,triangle-strategy
9,MS19B_X43_A0_0010_F_FRE_0070.wav,MS19B_X43_A0_0010_F_FRE_0070,9,9,9,10,Frederica,main,female,frederica,assets/triangle-strategy/approved_voice_references/frederica.wav,เจ้าค่ะ ฝ่าบาท,,,PENDING_MANUAL_GENERATION,,triangle-strategy
10,MS19B_X43_A0_0010_F_HEW_0010.wav,MS19B_X43_A0_0010_F_HEW_0010,10,10,10,11,Hughette,main,female,hughette,assets/triangle-strategy/approved_voice_references/hughette.wav,พบแหล่งคริสตัลเกลืออีกหลายแห่งเลยนะเจ้าคะ,,,PENDING_MANUAL_GENERATION,,triangle-strategy
11,MS19B_X43_A0_0010_F_HEW_0020.wav,MS19B_X43_A0_0010_F_HEW_0020,11,11,11,12,Hughette,main,female,hughette,assets/triangle-strategy/approved_voice_references/hughette.wav,เจ้าค่ะนายท่าน,,,PENDING_MANUAL_GENERATION,,triangle-strategy
12,MS19B_X43_A0_0010_F_YRA_0010.wav,MS19B_X43_A0_0010_F_YRA_0010,12,12,12,13,Geela,main,female,geela,assets/triangle-strategy/approved_voice_references/geela.wav,เมืองเก่ากำลังยากจนอับเฉา... เราควรหาวิธีแก้ไขนะเจ้าคะ,,,PENDING_MANUAL_GENERATION,,triangle-strategy
13,MS19B_X43_A0_0010_M_BND_0010.wav,MS19B_X43_A0_0010_M_BND_0010,13,13,13,14,Benedict,main,male,benedict,assets/triangle-strategy/approved_voice_references/benedict.wav,ขืนทำเช่นนั้น รับรองผู้คนทั่วสารทิศจะแห่กันมาขุดเหมือง,,,PENDING_MANUAL_GENERATION,,triangle-strategy
14,MS19B_X43_A0_0010_M_BND_0020.wav,MS19B_X43_A0_0010_M_BND_0020,14,14,14,15,Benedict,main,male,benedict,assets/triangle-strategy/approved_voice_references/benedict.wav,แผนการของเราเหมาะสมที่สุดแล้วขอรับ แน่นอนว่าการค้าเกลือจะเฟื่องฟูกว่าที่เคย,,,PENDING_MANUAL_GENERATION,,triangle-strategy
