line_no,file_name,self_id,cue,sequence,waveform,awb_stream,character_name,role,gender,voice_target,reference_audio,thai_text,pronunciation_note,prosody_note,status,tts_text,voice_project
1,MS08A_F01_A0_0010_F_ABR_0010.wav,MS08A_F01_A0_0010_F_ABR_0010,0,0,0,1,Avlora,npc,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,ขอบคุณเจ้าค่ะ พวกเขาเป็นนักรบที่ภาคภูมิ และลอร์ดแลนดรอยถือว่าเป็นคู่ต่อสู้ตัวฉกาจแม้ว่าจะชราแล้วก็ตาม,,,PENDING_MANUAL_GENERATION,,triangle-strategy
2,MS08A_F01_A0_0010_F_ABR_0020.wav,MS08A_F01_A0_0010_F_ABR_0020,1,1,1,2,Avlora,npc,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,หมายความว่ายังไงเจ้าคะ นายท่าน?,,,PENDING_MANUAL_GENERATION,,triangle-strategy
3,MS08A_F01_A0_0010_F_ABR_0030.wav,MS08A_F01_A0_0010_F_ABR_0030,2,2,2,3,Avlora,npc,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,แล้วตระกูลวูล์ฟฟอร์ตล่ะเจ้าคะ?,,,PENDING_MANUAL_GENERATION,,triangle-strategy
4,MS08A_F01_A0_0010_F_ABR_0040.wav,MS08A_F01_A0_0010_F_ABR_0040,3,3,3,4,Avlora,npc,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,การที่องค์ชายโรแลนด์ยังอยู่กับพวกเขา มันไม่ใช่ปัญหาเลยเหรอ?,,,PENDING_MANUAL_GENERATION,,triangle-strategy
5,MS08A_F01_A0_0010_F_ABR_0050.wav,MS08A_F01_A0_0010_F_ABR_0050,4,4,4,5,Avlora,npc,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,อย่าประมาทพวกเขาเลยเจ้าค่ะ,,,PENDING_MANUAL_GENERATION,,triangle-strategy
6,MS08A_F01_A0_0010_F_ABR_0060.wav,MS08A_F01_A0_0010_F_ABR_0060,5,5,5,6,Avlora,npc,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,แม้พวกเขาตัวคนเดียว แต่พวกเขาเคยพลิกสงครามซอลท์ไอรอนนะเจ้าคะ,,,PENDING_MANUAL_GENERATION,,triangle-strategy
7,MS08A_F01_A0_0010_F_ABR_0070.wav,MS08A_F01_A0_0010_F_ABR_0070,6,6,6,7,Avlora,npc,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,...เปล่าเจ้าค่ะนายท่าน อภัยให้ข้าด้วย,,,PENDING_MANUAL_GENERATION,,triangle-strategy
8,MS08A_F01_A0_0010_M_GST_0010.wav,MS08A_F01_A0_0010_M_GST_0010,7,7,7,8,กุสตาดอล์ฟ,npc,male,gustadolph,,ยินดีกับชัยชนะของเจ้าในแคว้นฟ็อลคส์ด้วย,,,BLOCKED_PENDING_REFERENCE_AUDIO,,triangle-strategy
9,MS08A_F01_A0_0010_M_GST_0020.wav,MS08A_F01_A0_0010_M_GST_0020,8,8,8,9,กุสตาดอล์ฟ,npc,male,gustadolph,,เขาคงมีความสุขที่ได้ตายบนแผ่นดินที่ตัวเองหวงแหนเป็นแน่,,,BLOCKED_PENDING_REFERENCE_AUDIO,,triangle-strategy
10,MS08A_F01_A0_0010_M_GST_0030.wav,MS08A_F01_A0_0010_M_GST_0030,9,9,9,10,กุสตาดอล์ฟ,npc,male,gustadolph,,สามสิบปีล่วงเลยไปนับตั้งแต่สงครามซอลท์ไอรอน ข้าคิดว่าเขาควรได้พักผ่อน...พร้อมกับการจากไปของยุคนั้น,,,BLOCKED_PENDING_REFERENCE_AUDIO,,triangle-strategy
11,MS08A_F01_A0_0010_M_GST_0040.wav,MS08A_F01_A0_0010_M_GST_0040,10,10,10,11,กุสตาดอล์ฟ,npc,male,gustadolph,,อัฟโลร่า เจ้าเองก็ไปพักด้วยสิ,,,BLOCKED_PENDING_REFERENCE_AUDIO,,triangle-strategy
12,MS08A_F01_A0_0010_M_GST_0050.wav,MS08A_F01_A0_0010_M_GST_0050,11,11,11,12,กุสตาดอล์ฟ,npc,male,gustadolph,,ก็ทหารของเจ้าเพิ่งผ่านศึกหนักมา ถ้าจะให้สู้ต่อก็คงหมดกำลังใจก่อน,,,BLOCKED_PENDING_REFERENCE_AUDIO,,triangle-strategy
13,MS08A_F01_A0_0010_M_GST_0060.wav,MS08A_F01_A0_0010_M_GST_0060,12,12,12,13,กุสตาดอล์ฟ,npc,male,gustadolph,,ตอนนี้ยังไม่มีเรื่องน่าห่วง หลังจากการปฏิวัติของโรแลนด์...ก็เหลือเพียงแค่วูล์ฟฟอร์ตตระกูลเดียวแล้ว,,,BLOCKED_PENDING_REFERENCE_AUDIO,,triangle-strategy
14,MS08A_F01_A0_0010_M_GST_0070.wav,MS08A_F01_A0_0010_M_GST_0070,13,13,13,14,กุสตาดอล์ฟ,npc,male,gustadolph,,ตระกูลวูล์ฟฟอร์ตไม่ใช่ผู้ล่าอีกต่อไปแล้ว ตอนนี้พวกมันคือผู้ถูกล่า,,,BLOCKED_PENDING_REFERENCE_AUDIO,,triangle-strategy
15,MS08A_F01_A0_0010_M_GST_0080.wav,MS08A_F01_A0_0010_M_GST_0080,14,14,14,15,กุสตาดอล์ฟ,npc,male,gustadolph,,หรือว่าเจ้าเข้าใจในบางสิ่งที่ข้านึกไม่ถึงงั้นเหรอ...ผู้บัญชาการ?,,,BLOCKED_PENDING_REFERENCE_AUDIO,,triangle-strategy
16,MS08A_F01_A0_0020_F_ABR_0010.wav,MS08A_F01_A0_0020_F_ABR_0010,15,15,15,16,Avlora,npc,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,...เสียดายจริงๆ,,,PENDING_MANUAL_GENERATION,,triangle-strategy
17,MS08A_F01_A0_0020_F_ABR_0020.wav,MS08A_F01_A0_0020_F_ABR_0020,16,16,16,17,Avlora,npc,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,เนี่ยเหรอคือจุดจบของอาณาจักรเกลนบรู๊ค?,,,PENDING_MANUAL_GENERATION,,triangle-strategy
18,MS08A_F01_A0_0020_F_ABR_0030.wav,MS08A_F01_A0_0020_F_ABR_0030,17,17,17,18,Avlora,npc,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,น่าเสียดาย,,,PENDING_MANUAL_GENERATION,,triangle-strategy
19,MS08A_F01_A0_0020_F_CRD_0010.wav,MS08A_F01_A0_0020_F_CRD_0010,18,18,18,19,Cordelia,npc,female,cordelia,assets/triangle-strategy/approved_voice_references/cordelia.wav,โถ โรแลนด์...,,,PENDING_MANUAL_GENERATION,,triangle-strategy
20,MS08A_F01_A0_0020_F_ERK_0010.wav,MS08A_F01_A0_0020_F_ERK_0010,19,19,19,20,Erika,npc,female,erika,assets/triangle-strategy/approved_voice_references/erika.wav,พี่ของเจ้า ถูกทรยศโดยสหายที่เขาวางใจมากที่สุด!,,,PENDING_MANUAL_GENERATION,,triangle-strategy
21,MS08A_F01_A0_0020_F_TRI_0010.wav,MS08A_F01_A0_0020_F_TRI_0010,20,20,20,21,Trish,npc,female,trish,assets/triangle-strategy/approved_voice_references/trish.wav,ขอบคุณที่กรุณาขอรับ นายท่าน,,,PENDING_MANUAL_GENERATION,,triangle-strategy
22,MS08A_F01_A0_0020_M_GST_0010.wav,MS08A_F01_A0_0020_M_GST_0010,21,21,21,22,กุสตาดอล์ฟ,npc,male,gustadolph,,น่าเสียดายที่ศพเสียหายจนระบุตัวตนไม่ได้ แต่สัญลักษณ์ราชวงศ์นี่ไม่ผิดแน่,,,BLOCKED_PENDING_REFERENCE_AUDIO,,triangle-strategy
23,MS08A_F01_A0_0020_M_GST_0020.wav,MS08A_F01_A0_0020_M_GST_0020,22,22,22,23,กุสตาดอล์ฟ,npc,male,gustadolph,,นอกจากคอร์เดเลีย ก็มีอยู่คนเดียวเนี่ยแหละที่สวมแหวนราชวงศ์,,,BLOCKED_PENDING_REFERENCE_AUDIO,,triangle-strategy
24,MS08A_F01_A0_0020_M_GST_0030.wav,MS08A_F01_A0_0020_M_GST_0030,23,23,23,24,กุสตาดอล์ฟ,npc,male,gustadolph,,นี่คือองค์ชายโรแลนด์อย่างแน่นอน,,,BLOCKED_PENDING_REFERENCE_AUDIO,,triangle-strategy
25,MS08A_F01_A0_0020_M_GST_0040.wav,MS08A_F01_A0_0020_M_GST_0040,24,24,24,25,กุสตาดอล์ฟ,npc,male,gustadolph,,ธาลาส เอาเงินให้เขา,,,BLOCKED_PENDING_REFERENCE_AUDIO,,triangle-strategy
26,MS08A_F01_A0_0020_M_GST_0050.wav,MS08A_F01_A0_0020_M_GST_0050,25,25,25,26,กุสตาดอล์ฟ,npc,male,gustadolph,,วูล์ฟฟอร์ตมันไม่ได้โง่ สหายของมันก็เป็นแค่ตัวถ่วง,,,BLOCKED_PENDING_REFERENCE_AUDIO,,triangle-strategy
27,MS08A_F01_A0_0020_M_GST_0060.wav,MS08A_F01_A0_0020_M_GST_0060,26,26,26,27,กุสตาดอล์ฟ,npc,male,gustadolph,,พวกมันปกป้องตัวเองด้วยการละทิ้งองค์ชาย,,,BLOCKED_PENDING_REFERENCE_AUDIO,,triangle-strategy
28,MS08A_F01_A0_0020_M_GST_0070.wav,MS08A_F01_A0_0020_M_GST_0070,27,27,27,28,กุสตาดอล์ฟ,npc,male,gustadolph,,ถึงจะหนีไปได้ แล้วใครจะไปช่วยพวกมันล่ะ,,,BLOCKED_PENDING_REFERENCE_AUDIO,,triangle-strategy
29,MS08A_F01_A0_0020_M_GST_0080.wav,MS08A_F01_A0_0020_M_GST_0080,28,28,28,29,กุสตาดอล์ฟ,npc,male,gustadolph,,ไม่มีเหตุผลที่เราต้องเครียดเรื่องตระกูลวูล์ฟฟอร์ตแล้ว,,,BLOCKED_PENDING_REFERENCE_AUDIO,,triangle-strategy
30,MS08A_F01_A0_0020_M_TRA_0010.wav,MS08A_F01_A0_0020_M_TRA_0010,29,29,29,30,Travis,npc,male,travis,assets/triangle-strategy/approved_voice_references/travis.wav,ขะ-ขออนุญาตขอรับ นะ-นะ-นายท่าน เรื่องรางวัลน่ะ...,,,PENDING_MANUAL_GENERATION,,triangle-strategy
31,MS08A_F01_A0_0020_M_TRS_0010.wav,MS08A_F01_A0_0020_M_TRS_0010,30,30,30,31,Thalas,npc,male,thalas,assets/triangle-strategy/approved_voice_references/thalas.wav,ขอรับ ท่านพี่,,,PENDING_MANUAL_GENERATION,,triangle-strategy
32,MS08A_F01_A1_1010_M_BND_0010.wav,MS08A_F01_A1_1010_M_BND_0010,31,31,31,32,Benedict,main,male,benedict,assets/triangle-strategy/approved_voice_references/benedict.wav,องค์ชายอยากคุยกับข้าเหรอขอรับ?,,,PENDING_MANUAL_GENERATION,,triangle-strategy
33,MS08A_F01_A1_1010_M_BND_0020.wav,MS08A_F01_A1_1010_M_BND_0020,32,32,32,33,Benedict,main,male,benedict,assets/triangle-strategy/approved_voice_references/benedict.wav,แล้วท่านอยากให้ข้าเกลี้ยกล่อมลอร์ดเซเรโนอาให้ไหม?,,,PENDING_MANUAL_GENERATION,,triangle-strategy
