line_no,file_name,self_id,cue,sequence,waveform,awb_stream,character_name,role,gender,voice_target,reference_audio,thai_text,pronunciation_note,prosody_note,status,tts_text,voice_project
1,MS05_X06_A0_1010_M_FRN_0010.wav,MS05_X06_A0_1010_M_FRN_0010,0,0,0,1,แฟรนี่,npc,male,frani,assets/triangle-strategy/approved_voice_references/frani.wav,ว่าไงนะ!? ทำไมเอสฟรอสต์ต้องรุกรานพวกเราด้วย?,,,PENDING_MANUAL_GENERATION,,triangle-strategy
2,MS05_X06_A0_1010_M_FRN_0020.wav,MS05_X06_A0_1010_M_FRN_0020,1,1,1,2,แฟรนี่,npc,male,frani,assets/triangle-strategy/approved_voice_references/frani.wav,ทำแบบนี้มันฉีกข้อตกลงกันชัดๆ! เขียนจดหมายร้องเรียนไปหาอาร์ชดยุกเดี๋ยวนี้!,,,PENDING_MANUAL_GENERATION,,triangle-strategy
3,MS05_X06_A0_1010_M_FRN_0030.wav,MS05_X06_A0_1010_M_FRN_0030,2,2,2,3,แฟรนี่,npc,male,frani,assets/triangle-strategy/approved_voice_references/frani.wav,จะ-จริงด้วย เราต้องปกป้องท่านพ่อกับคอร์เดเลียอย่างสุดความสามารถ!,,,PENDING_MANUAL_GENERATION,,triangle-strategy
4,MS05_X06_A0_1010_M_M036_0010.wav,MS05_X06_A0_1010_M_M036_0010,3,3,3,4,นายทหารเกลนบรู๊ค,generic,male,MALE_ADULT_A,assets/triangle-strategy/approved_voice_references/MALE_ADULT_A.wav,แข็งใจไว้! อย่าให้พวกมันฝ่าไปถึงปราสาท!,,,PENDING_MANUAL_GENERATION,,triangle-strategy
5,MS05_X06_A0_1010_M_M037_0010.wav,MS05_X06_A0_1010_M_M037_0010,4,4,4,5,ทหารเกลนบรู๊ค,generic,male,MALE_YOUNG_B,assets/triangle-strategy/approved_voice_references/MALE_YOUNG_B.wav,ขอรับ!,,,PENDING_MANUAL_GENERATION,,triangle-strategy
6,MS05_X06_A0_1010_M_M037_0020.wav,MS05_X06_A0_1010_M_M037_0020,5,5,5,6,ทหารเกลนบรู๊ค,generic,male,MALE_YOUNG_B,assets/triangle-strategy/approved_voice_references/MALE_YOUNG_B.wav,ย้ากกก!,,,PENDING_MANUAL_GENERATION,,triangle-strategy
7,MS05_X06_A0_1010_M_M227_0010.wav,MS05_X06_A0_1010_M_M227_0010,6,6,6,7,ทหารเกลนบรู๊ค,generic,male,MALE_YOUNG_A,assets/triangle-strategy/approved_voice_references/MALE_YOUNG_A.wav,ชุดเกราะนั่น... ทัพเหล็กทมิฬเหรอ!?,,,PENDING_MANUAL_GENERATION,,triangle-strategy
8,MS05_X06_A0_1010_M_M227_0020.wav,MS05_X06_A0_1010_M_M227_0020,7,7,7,8,ทหารเกลนบรู๊ค,generic,male,MALE_YOUNG_A,assets/triangle-strategy/approved_voice_references/MALE_YOUNG_A.wav,เอสฟรอสต์... เอสฟรอสต์บุกมาแล้ว!,,,PENDING_MANUAL_GENERATION,,triangle-strategy
9,MS05_X06_A0_1010_M_M418_0010.wav,MS05_X06_A0_1010_M_M418_0010,8,8,8,9,นายทหารเกลนบรู๊ค,generic,male,MALE_ADULT_B,assets/triangle-strategy/approved_voice_references/MALE_ADULT_B.wav,คิดว่าไม่น่ามีเวลาเขียนจดหมายทางการแล้วล่ะขอรับ องค์ชาย!,,,PENDING_MANUAL_GENERATION,,triangle-strategy
10,MS05_X06_A0_1010_M_M418_0020.wav,MS05_X06_A0_1010_M_M418_0020,9,9,9,10,นายทหารเกลนบรู๊ค,generic,male,MALE_ADULT_B,assets/triangle-strategy/approved_voice_references/MALE_ADULT_B.wav,พวกเรายื้อไม่ไหวแล้ว ต้องรีบบอกฝ่าบาทนะขอรับ,,,PENDING_MANUAL_GENERATION,,triangle-strategy
11,MS05_X06_A1_0010_M_M228_0010.wav,MS05_X06_A1_0010_M_M228_0010,10,10,10,11,ผู้ส่งสาร,generic,male,MALE_YOUNG_C,assets/triangle-strategy/approved_voice_references/MALE_YOUNG_C.wav,ลอร์ดซีมอนขอรับ ฝ่าบาทเร็กน่าฝากมาบอกว่า... หากนครหลวงแตกพ่าย เขาคงต้องฝากเกลนบรู๊คไว้กับท่านแล้ว,,,PENDING_MANUAL_GENERATION,,triangle-strategy
12,MS05_X06_A1_0010_M_M229_0010.wav,MS05_X06_A1_0010_M_M229_0010,11,11,11,12,ผู้ติดตามซีมอน,generic,male,MALE_ADULT_C,assets/triangle-strategy/approved_voice_references/MALE_ADULT_C.wav,แต่นายท่าน อย่างน้อยช่วยรอลอร์ดเซเรโนอากับสหายของเขากลับมาก่อนได้ไหมขอรับ...,,,PENDING_MANUAL_GENERATION,,triangle-strategy
13,MS05_X06_A1_0010_M_M229_0020.wav,MS05_X06_A1_0010_M_M229_0020,12,12,12,13,ผู้ติดตามซีมอน,generic,male,MALE_ADULT_C,assets/triangle-strategy/approved_voice_references/MALE_ADULT_C.wav,หัวใจกำเริบแล้วขอรับนายท่าน!,,,PENDING_MANUAL_GENERATION,,triangle-strategy
