line_no,file_name,self_id,cue,sequence,waveform,awb_stream,character_name,role,gender,voice_target,reference_audio,thai_text,pronunciation_note,prosody_note,status,tts_text,voice_project
1,MS02_X02_A0_0010_F_CRD_0010.wav,MS02_X02_A0_0010_F_CRD_0010,0,0,0,1,คอร์เดเลีย,npc,female,NEEDS_VOICE_TARGET,,วันนี้ท่านพ่อไม่พูดคุยกับข้าเลย เกรงว่าข้าจะลืมน้ำเสียงของท่านพ่อไปเสียก่อน...,,,BLOCKED_NEW_VOICE_TARGET,,triangle-strategy
2,MS02_X02_A0_0010_F_CRD_0020.wav,MS02_X02_A0_0010_F_CRD_0020,1,1,1,2,คอร์เดเลีย,npc,female,NEEDS_VOICE_TARGET,,ข้า… เจ้าค่ะ ท่านพี่,,,BLOCKED_NEW_VOICE_TARGET,,triangle-strategy
3,MS02_X02_A0_0010_F_CRD_0030.wav,MS02_X02_A0_0010_F_CRD_0030,2,2,2,3,คอร์เดเลีย,npc,female,NEEDS_VOICE_TARGET,,พวกพี่หยุดทะเลาะกันเถอะ! ข้ากลัวแล้วนะ!,,,BLOCKED_NEW_VOICE_TARGET,,triangle-strategy
4,MS02_X02_A0_0010_F_CRD_0040.wav,MS02_X02_A0_0010_F_CRD_0040,3,3,3,4,คอร์เดเลีย,npc,female,NEEDS_VOICE_TARGET,,จะไปไหนเจ้าคะ ท่านพี่?,,,BLOCKED_NEW_VOICE_TARGET,,triangle-strategy
5,MS02_X02_A0_0010_F_CRD_0050.wav,MS02_X02_A0_0010_F_CRD_0050,4,4,4,5,คอร์เดเลีย,npc,female,NEEDS_VOICE_TARGET,,ท่านพี่...,,,BLOCKED_NEW_VOICE_TARGET,,triangle-strategy
6,MS02_X02_A0_0010_M_FRN_0010.wav,MS02_X02_A0_0010_M_FRN_0010,5,5,5,6,แฟรนี่,npc,male,frani,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_N003/candidate_01.wav,ขอร้องล่ะ เอาแต่ร้องไห้เป็นเด็กไปได้ มีสติหน่อยสิ,,,PENDING_MANUAL_GENERATION,,triangle-strategy
7,MS02_X02_A0_0010_M_FRN_0020.wav,MS02_X02_A0_0010_M_FRN_0020,6,6,6,7,แฟรนี่,npc,male,frani,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_N003/candidate_01.wav,ท่านพ่อมีอาณาจักรให้ปกครอง เป็นอาณาจักรซึ่งมีความเป็นมาอย่างยาวนาน...เขามีหน้าที่อันสำคัญกว่าการปลอบเด็กอย่างเจ้า,,,PENDING_MANUAL_GENERATION,,triangle-strategy
8,MS02_X02_A0_0010_M_FRN_0030.wav,MS02_X02_A0_0010_M_FRN_0030,7,7,7,8,แฟรนี่,npc,male,frani,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_N003/candidate_01.wav,สามหาวเกินไปแล้วนะ โรแลนด์,,,PENDING_MANUAL_GENERATION,,triangle-strategy
9,MS02_X02_A0_0010_M_FRN_0040.wav,MS02_X02_A0_0010_M_FRN_0040,8,8,8,9,แฟรนี่,npc,male,frani,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_N003/candidate_01.wav,คำสั่งของกษัตริย์คือสิ่งที่เราสมควรปฏิบัติตาม,,,PENDING_MANUAL_GENERATION,,triangle-strategy
10,MS02_X02_A0_0010_M_FRN_0050.wav,MS02_X02_A0_0010_M_FRN_0050,9,9,9,10,แฟรนี่,npc,male,frani,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_N003/candidate_01.wav,พวกเขามีชีวิตเพื่อรับใช้ตามที่ท่านพ่อเห็นสมควรต่างหาก,,,PENDING_MANUAL_GENERATION,,triangle-strategy
11,MS02_X02_A0_0010_M_FRN_0060.wav,MS02_X02_A0_0010_M_FRN_0060,10,10,10,11,แฟรนี่,npc,male,frani,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_N003/candidate_01.wav,อยากจะคิดเช่นไรก็เชิญเถอะ ไหนๆก็พูดถึงราษฎรแล้ว เหมือนว่าเซเรโนอากำลังจะได้สืบทอดตำแหน่งลอร์ดนะ,,,PENDING_MANUAL_GENERATION,,triangle-strategy
12,MS02_X02_A0_0010_M_FRN_0070.wav,MS02_X02_A0_0010_M_FRN_0070,11,11,11,12,แฟรนี่,npc,male,frani,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_N003/candidate_01.wav,เจ้าโชคดีจริงๆ ที่มีสหายเป็นลอร์ดคนใหม่,,,PENDING_MANUAL_GENERATION,,triangle-strategy
13,MS02_X02_A0_0010_M_FRN_0080.wav,MS02_X02_A0_0010_M_FRN_0080,12,12,12,13,แฟรนี่,npc,male,frani,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_N003/candidate_01.wav,แต่ก็อย่าเหลิงคิดว่าตระกูลวูล์ฟฟอร์ตจะจงรักภักดีไปตลอดแล้วกัน ถึงแม้ว่าตอนนี้พวกเขายังเคารพเจ้าอยู่ แต่ความเคารพนั้นมันเปลี่ยนแปลงได้ราวกับสายลมทีเดียว,,,PENDING_MANUAL_GENERATION,,triangle-strategy
14,MS02_X02_A0_0010_M_FRN_0090.wav,MS02_X02_A0_0010_M_FRN_0090,13,13,13,14,แฟรนี่,npc,male,frani,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_N003/candidate_01.wav,ตอนนี้ก็ใช้งานพวกมันให้คุ้มซะเถอะ เมื่อไหร่ที่พวกมันเริ่มต่อต้านก็เตรียมตัวกำจัดทิ้งได้เลย,,,PENDING_MANUAL_GENERATION,,triangle-strategy
