line_no,file_name,self_id,cue,sequence,waveform,awb_stream,character_name,role,gender,voice_target,reference_audio,thai_text,pronunciation_note,prosody_note,status,tts_text,voice_project
1,MS18B_X39_A0_0010_M_BND_0010.wav,MS18B_X39_A0_0010_M_BND_0010,0,0,0,1,Benedict,main,male,benedict,assets/triangle-strategy/approved_voice_references/benedict.wav,เช่นนั้นเรามาเริ่มเจรจากันเลยขอรับ,,,PENDING_MANUAL_GENERATION,,triangle-strategy
2,MS18B_X39_A0_0010_M_BND_0020.wav,MS18B_X39_A0_0010_M_BND_0020,1,1,1,2,Benedict,main,male,benedict,assets/triangle-strategy/approved_voice_references/benedict.wav,แบบนั้นคงไม่ได้ขอรับ,,,PENDING_MANUAL_GENERATION,,triangle-strategy
3,MS18B_X39_A0_0010_M_BND_0030.wav,MS18B_X39_A0_0010_M_BND_0030,2,2,2,3,Benedict,main,male,benedict,assets/triangle-strategy/approved_voice_references/benedict.wav,อาร์ชดยุก วอนท่านช่วยตอบคำถามข้าด้วย... ท่านจะเอาเกลือไปทำอะไรขอรับ?,,,PENDING_MANUAL_GENERATION,,triangle-strategy
4,MS18B_X39_A0_0010_M_BND_0040.wav,MS18B_X39_A0_0010_M_BND_0040,3,3,3,4,Benedict,main,male,benedict,assets/triangle-strategy/approved_voice_references/benedict.wav,ทำเช่นนั้นก็ไม่ต่างจากพวกไฮแซนต์ที่ผูกขาดเกลือหรอกขอรับ,,,PENDING_MANUAL_GENERATION,,triangle-strategy
5,MS18B_X39_A0_0010_M_BND_0050.wav,MS18B_X39_A0_0010_M_BND_0050,4,4,4,5,Benedict,main,male,benedict,assets/triangle-strategy/approved_voice_references/benedict.wav,ข้าขอแย้งท่านหน่อย พวกเราตั้งใจจะทำให้เกลือจับต้องได้สำหรับทุกคนต่างหาก,,,PENDING_MANUAL_GENERATION,,triangle-strategy
6,MS18B_X39_A0_0010_M_BND_0060.wav,MS18B_X39_A0_0010_M_BND_0060,5,5,5,6,Benedict,main,male,benedict,assets/triangle-strategy/approved_voice_references/benedict.wav,ใครๆ ก็สามารถซื้อเกลือได้ตามต้องการ ด้วยราคาอันน้อยนิด,,,PENDING_MANUAL_GENERATION,,triangle-strategy
7,MS18B_X39_A0_0010_M_BND_0070.wav,MS18B_X39_A0_0010_M_BND_0070,6,6,6,7,Benedict,main,male,benedict,assets/triangle-strategy/approved_voice_references/benedict.wav,เพื่อสร้างโลกที่เต็มไปด้วยโอกาสโดยใช้เกลือขอรับ อย่างเช่น...,,,PENDING_MANUAL_GENERATION,,triangle-strategy
8,MS18B_X39_A0_0010_M_BND_0080.wav,MS18B_X39_A0_0010_M_BND_0080,7,7,7,8,Benedict,main,male,benedict,assets/triangle-strategy/approved_voice_references/benedict.wav,การถนอมอาหารด้วยเกลือ จะทำให้ชีวิตและการค้าขายเฟื่องฟูกว่าเก่า,,,PENDING_MANUAL_GENERATION,,triangle-strategy
9,MS18B_X39_A0_0010_M_BND_0090.wav,MS18B_X39_A0_0010_M_BND_0090,8,8,8,9,Benedict,main,male,benedict,assets/triangle-strategy/approved_voice_references/benedict.wav,การนำเกลือมาช่วยผลิตหนังและแก้ว จะทำให้เราได้สินค้าคุณภาพสูงกว่าเดิม,,,PENDING_MANUAL_GENERATION,,triangle-strategy
10,MS18B_X39_A0_0010_M_BND_0100.wav,MS18B_X39_A0_0010_M_BND_0100,9,9,9,10,Benedict,main,male,benedict,assets/triangle-strategy/approved_voice_references/benedict.wav,ชาวนาอาจนำเกลือไปใช้กับปศุสัตว์ หรือจะนำไปทำเป็นยาสารพัด...,,,PENDING_MANUAL_GENERATION,,triangle-strategy
11,MS18B_X39_A0_0010_M_BND_0110.wav,MS18B_X39_A0_0010_M_BND_0110,10,10,10,11,Benedict,main,male,benedict,assets/triangle-strategy/approved_voice_references/benedict.wav,นำไปสร้างระเบิดก็ยังได้ขอรับ,,,PENDING_MANUAL_GENERATION,,triangle-strategy
12,MS18B_X39_A0_0010_M_BND_0120.wav,MS18B_X39_A0_0010_M_BND_0120,11,11,11,12,Benedict,main,male,benedict,assets/triangle-strategy/approved_voice_references/benedict.wav,นี่เป็นเพียงตัวอย่างบางส่วนเท่านั้น หากเรามอบเกลือให้ประชาชนควบคุม...พวกเขาอาจจะค้นพบประโยชน์ของมันนอกเหนือจากนี้ก็เป็นได้,,,PENDING_MANUAL_GENERATION,,triangle-strategy
13,MS18B_X39_A0_0010_M_BND_0130.wav,MS18B_X39_A0_0010_M_BND_0130,12,12,12,13,Benedict,main,male,benedict,assets/triangle-strategy/approved_voice_references/benedict.wav,ยุคทองแห่งนอร์เซเลียที่ทุกคนเจริญรุ่งเรืองอยู่ไม่ไกลแล้วขอรับ,,,PENDING_MANUAL_GENERATION,,triangle-strategy
14,MS18B_X39_A0_0010_M_BND_0140.wav,MS18B_X39_A0_0010_M_BND_0140,13,13,13,14,Benedict,main,male,benedict,assets/triangle-strategy/approved_voice_references/benedict.wav,เพราะพวกเขาไม่ได้รับโอกาสขอรับ แต่หากเราวางระบบไว้ดีพอ...ยังไงพวกเขาก็เรียนรู้ได้,,,PENDING_MANUAL_GENERATION,,triangle-strategy
15,MS18B_X39_A0_0010_M_BND_0150.wav,MS18B_X39_A0_0010_M_BND_0150,14,14,14,15,Benedict,main,male,benedict,assets/triangle-strategy/approved_voice_references/benedict.wav,ข้าได้วางแผนแจกจ่ายเกลือให้ทุกคนมานานหลายปีแล้วขอรับ,,,PENDING_MANUAL_GENERATION,,triangle-strategy
16,MS18B_X39_A0_0010_M_BND_0160.wav,MS18B_X39_A0_0010_M_BND_0160,15,15,15,16,Benedict,main,male,benedict,assets/triangle-strategy/approved_voice_references/benedict.wav,และอาณาจักรที่ท่านอยากโค่นล้มก็คิดเช่นเดียวกัน...พวกเขาจึงต้องหาทางควบคุมเกลือผ่านอำนาจเทพธิดายังไงล่ะ,,,PENDING_MANUAL_GENERATION,,triangle-strategy
17,MS18B_X39_A0_0010_M_BND_0170.wav,MS18B_X39_A0_0010_M_BND_0170,16,16,16,17,Benedict,main,male,benedict,assets/triangle-strategy/approved_voice_references/benedict.wav,เช่นนั้นข้าขอถามกลับ ท่านไม่รู้เรื่องนี้จริงเหรอขอรับ?,,,PENDING_MANUAL_GENERATION,,triangle-strategy
18,MS18B_X39_A0_0010_M_BND_0180.wav,MS18B_X39_A0_0010_M_BND_0180,17,17,17,18,Benedict,main,male,benedict,assets/triangle-strategy/approved_voice_references/benedict.wav,มันเขียนอยู่ในหนังสือที่ดราแกนมอบให้เราแท้ๆ,,,PENDING_MANUAL_GENERATION,,triangle-strategy
19,MS18B_X39_A0_0010_M_BND_0190.wav,MS18B_X39_A0_0010_M_BND_0190,18,18,18,19,Benedict,main,male,benedict,assets/triangle-strategy/approved_voice_references/benedict.wav,อีกเดี๋ยวไฮแซนต์ก็รู้ทันแผนพวกเราแล้ว รีบประชุมสภาสงครามกันดีกว่าขอรับ,,,PENDING_MANUAL_GENERATION,,triangle-strategy
20,MS18B_X39_A0_0010_M_GST_0010.wav,MS18B_X39_A0_0010_M_GST_0010,19,19,19,20,กุสตาดอล์ฟ,npc,male,gustadolph,assets/triangle-strategy/approved_voice_references/gustadolph.wav,น่าสนใจดีนี่,,,PENDING_MANUAL_GENERATION,,triangle-strategy
21,MS18B_X39_A0_0010_M_GST_0020.wav,MS18B_X39_A0_0010_M_GST_0020,20,20,20,21,กุสตาดอล์ฟ,npc,male,gustadolph,assets/triangle-strategy/approved_voice_references/gustadolph.wav,ท่านเคยขัดขืนข้าที่นี่มาก่อน แต่ตอนนี้กลับวอนขอความช่วยเหลือในฐานะกษัตริย์เกลนบรู๊คงั้นเหรอ,,,PENDING_MANUAL_GENERATION,,triangle-strategy
22,MS18B_X39_A0_0010_M_GST_0030.wav,MS18B_X39_A0_0010_M_GST_0030,21,21,21,22,กุสตาดอล์ฟ,npc,male,gustadolph,assets/triangle-strategy/approved_voice_references/gustadolph.wav,นี่ไม่ได้ต้องการคำขอโทษอยู่ใช่ไหม ข้าคิดว่าพวกเรากำลังแย่งชิงอำนาจกันเองอยู่นะ,,,PENDING_MANUAL_GENERATION,,triangle-strategy
