line_no,file_name,self_id,cue,sequence,waveform,awb_stream,character_name,role,gender,voice_target,reference_audio,thai_text,pronunciation_note,prosody_note,status,tts_text,voice_project
1,TRIAL_01_MS06_X07_WD_0010_N_NNN_0010.wav,TRIAL_01_MS06_X07_WD_0010_N_NNN_0010,0,0,0,1,Narrator,narrator,female,narrator,assets/triangle-strategy/approved_voice_references/narrator.wav,ในทวีปอันห่างไกลแห่งนอร์เซเลีย ถูกปกครองโดยอาณาจักรมหาอำนาจทั้งสาม,ระวังการอ่าน นอร์เซเลีย; ให้ผู้ใช้ฟังและอนุมัติใน Studio,,PENDING_MANUAL_GENERATION,ในทวีปอันห่างไกลแห่งนอร์-เซ-เลีย ถูกปกครองโดยอาณาจักรมหาอำนาจทั้งสาม,triangle-strategy
2,TRIAL_01_MS06_X07_WD_0010_N_NNN_0020.wav,TRIAL_01_MS06_X07_WD_0010_N_NNN_0020,1,1,1,2,Narrator,narrator,female,narrator,assets/triangle-strategy/approved_voice_references/narrator.wav,อาณาจักรแรกเลยคืออาณาจักรเกลนบรู๊ค ซึ่งเป็นเมืองทางผ่านของแม่น้ำนอร์เซเลียอันยิ่งใหญ่ ทำให้นำมาซึ่งการค้าขายที่เฟื่องฟู,ระวังการอ่าน นอร์เซเลีย; ให้ผู้ใช้ฟังและอนุมัติใน Studio,,PENDING_MANUAL_GENERATION,,triangle-strategy
3,TRIAL_01_MS06_X07_WD_0010_N_NNN_0025.wav,TRIAL_01_MS06_X07_WD_0010_N_NNN_0025,2,2,2,3,Narrator,narrator,female,narrator,assets/triangle-strategy/approved_voice_references/narrator.wav,ต่อมาคืออาณาจักรแกรนด์ดัชชีแห่งเอสฟรอสต์ ดินแดนแห่งน้ำแข็งและหิมะที่ซึ่งเบื้องล่างเต็มไปด้วยแร่เหล็กมากมายที่ถูกปกคลุมอยู่,,,PENDING_MANUAL_GENERATION,,triangle-strategy
4,TRIAL_01_MS06_X07_WD_0010_N_NNN_0030.wav,TRIAL_01_MS06_X07_WD_0010_N_NNN_0030,3,3,3,4,Narrator,narrator,female,narrator,assets/triangle-strategy/approved_voice_references/narrator.wav,และในดินแดนทะเลทรายคืออาณาจักรรัฐศักดิ์สิทธิ์แห่งไฮแซนต์ ที่เป็นที่ตั้งของทะเลสาบและแหล่งเก็บเกี่ยวเกลือที่สำคัญต่อทุกชีวิต,,,PENDING_MANUAL_GENERATION,,triangle-strategy
5,TRIAL_01_MS06_X07_WD_0010_N_NNN_0035.wav,TRIAL_01_MS06_X07_WD_0010_N_NNN_0035,4,4,4,5,Narrator,narrator,female,narrator,assets/triangle-strategy/approved_voice_references/narrator.wav,"โดยแต่ละอาณาจักรจะควบคุมทรัพยากรที่สำคัญของตนไว้เอง
ทำให้เกิดความขัดแย้งระหว่างอาณาจักรมาโดยตลอด",,,PENDING_MANUAL_GENERATION,,triangle-strategy
6,TRIAL_01_MS06_X07_WD_0010_N_NNN_0040.wav,TRIAL_01_MS06_X07_WD_0010_N_NNN_0040,5,5,5,6,Narrator,narrator,female,narrator,assets/triangle-strategy/approved_voice_references/narrator.wav,"ความขัดแย้งที่เกิดขึ้นนำไปสู่ชนวนสงคราม และในไม่ช้า
ก็เกิดเป็นสงครามนองเลือดที่ยืดเยื้อกันเป็นเวลากว่าหลายปี
ทุกชีวิตที่ถูกสังเวยไปในสงครามครั้งนี้ถูกกล่าวขานและรู้จักกันในชื่อของสงครามซอลไอรอน",,,PENDING_MANUAL_GENERATION,,triangle-strategy
7,TRIAL_01_MS06_X07_WD_0010_N_NNN_0050.wav,TRIAL_01_MS06_X07_WD_0010_N_NNN_0050,6,6,6,7,Narrator,narrator,female,narrator,assets/triangle-strategy/approved_voice_references/narrator.wav,"เมื่อสงครามดำเนินมาถึงช่วงสุดท้ายและอาณาจักรทั้งสามกำลังเผชิญหน้ากับการล่มสลาย ในที่สุดมหาอำนาจทั้งสามก็เจรจาสงบศึกในที่สุด ความสงบสุขได้กลับมาเยือนนอร์เซเลียอีกครั้ง แต่แค่ช่วงสั้น ๆ เพียงเท่านั้น
ไม่นานหลังจากขึ้นครองอำนาจในเอสฟรอสต์ อาร์ชดยุก กุสตาดอล์ฟได้เปิดฉากการรุกรานอาณาจักรเกลนบรู๊คที่อยู่ใกล้เคียงอย่างไม่ทันตั้งตัว",,,PENDING_MANUAL_GENERATION,,triangle-strategy
8,TRIAL_01_MS06_X07_WD_0010_N_NNN_0060.wav,TRIAL_01_MS06_X07_WD_0010_N_NNN_0060,7,7,7,8,Narrator,narrator,female,narrator,assets/triangle-strategy/approved_voice_references/narrator.wav,ทัพทหารเอสฟรอสต์ภายใต้การควบคุมของผู้บัญชาการอัฟโลร่า เอาชนะเมืองหลวงแห่งเกลนบรู๊ค และปราสาทไวท์โฮล์มซึ่งตั้งตระหง่าน ก็ล่มสลายโดยไม่ทันตั้งตัว,,,PENDING_MANUAL_GENERATION,,triangle-strategy
9,TRIAL_01_MS06_X07_WD_0010_N_NNN_0070.wav,TRIAL_01_MS06_X07_WD_0010_N_NNN_0070,8,8,8,9,Narrator,narrator,female,narrator,assets/triangle-strategy/approved_voice_references/narrator.wav,เมื่อตระกูลวูล์ฟฟอร์ต ซึ่งมีอำนาจสูงสุดเหนือตระกูลอื่นใดในเกลนบรู๊ค รับรู้ถึงการโจมตี พวกเขาจึงเร่งรุดเข้าช่วยเหล่าเชื้อพระวงศ์ นำทัพโดยเซเรโนอา ผู้สืบทอดตำแหน่งลอร์ดมาจากพ่อของเขา,อ่าน เซเรโนอา (ไม่ใช่ เซเรโน่อา),,PENDING_MANUAL_GENERATION,,triangle-strategy
10,TRIAL_01_MS06_X07_WD_0010_N_NNN_0080.wav,TRIAL_01_MS06_X07_WD_0010_N_NNN_0080,9,9,9,10,Narrator,narrator,female,narrator,assets/triangle-strategy/approved_voice_references/narrator.wav,โดยมีเบเนดิกต์ผู้เป็นที่ปรึกษาและทหารผ่านศึกซอลไอรอน องค์ชายโรแลนด์แห่งเกลนบรู๊คและเป็นเพื่อนรักของเซเรโนอา รวมถึงเฟรเดอริก้า คู่หมั้นผู้เดินทางมาจากราชรัฐซึ่งกลายเป็นศัตรูในปัจจุบัน,,,PENDING_MANUAL_GENERATION,,triangle-strategy
