line_no,file_name,self_id,cue,sequence,waveform,awb_stream,character_name,role,gender,voice_target,reference_audio,thai_text,pronunciation_note,prosody_note,status,tts_text,voice_project
1,MS10A_F01_C0_0010_F_FRE_0010.wav,MS10A_F01_C0_0010_F_FRE_0010,0,0,0,1,Frederica,main,female,frederica,assets/triangle-strategy/approved_voice_references/frederica.wav,ข้าจะไปที่นาเกลือ,,,PENDING_MANUAL_GENERATION,,triangle-strategy
2,MS10A_F01_C0_0010_M_BND_0010.wav,MS10A_F01_C0_0010_M_BND_0010,1,1,1,2,Benedict,main,male,benedict,assets/triangle-strategy/approved_voice_references/benedict.wav,ข้ารู้สึกว่าประชาชนที่นี่สัมผัสถึงเจตนารมณ์เทพธิดาไม่ได้ด้วยซ้ำ,,,PENDING_MANUAL_GENERATION,,triangle-strategy
3,MS10A_F01_C0_0010_M_BND_0020.wav,MS10A_F01_C0_0010_M_BND_0020,2,2,2,3,Benedict,main,male,benedict,assets/triangle-strategy/approved_voice_references/benedict.wav,ข้าเห็นด้วย เช่นนั้นเราแยกกันไปสำรวจพื้นที่ให้ได้มากที่สุดกันดีไหม?,,,PENDING_MANUAL_GENERATION,,triangle-strategy
4,MS10A_F01_C0_0010_M_M077_0010.wav,MS10A_F01_C0_0010_M_M077_0010,3,3,3,4,เจ้าหน้าที่ไฮแซนต์,generic,male,MALE_ADULT_A,assets/triangle-strategy/approved_voice_references/MALE_ADULT_A.wav,ลอร์ดเซเรโนอา วูล์ฟฟอร์ต พวกเราดีใจที่ท่านมาเยือนที่นี่ขอรับ,,,PENDING_MANUAL_GENERATION,,triangle-strategy
5,MS10A_F01_C0_0010_M_M077_0020.wav,MS10A_F01_C0_0010_M_M077_0020,4,4,4,5,เจ้าหน้าที่ไฮแซนต์,generic,male,MALE_ADULT_A,assets/triangle-strategy/approved_voice_references/MALE_ADULT_A.wav,ใช่แล้วล่ะ เป็นเกียรติของข้าจริงๆขอรับ แต่เกรงว่าพวกเขากำลังเตรียมตัวสำหรับการเข้าเฝ้าของท่านอยู่ ท่านช่วยรออีกสักพักเถอะนะขอรับ,,,PENDING_MANUAL_GENERATION,,triangle-strategy
6,MS10A_F01_C0_0010_M_M077_0030.wav,MS10A_F01_C0_0010_M_M077_0030,5,5,5,6,เจ้าหน้าที่ไฮแซนต์,generic,male,MALE_ADULT_A,assets/triangle-strategy/approved_voice_references/MALE_ADULT_A.wav,ขอบคุณที่เข้าใจขอรับ เราจะออกมาตามท่านทันทีเมื่อพวกเราพร้อม,,,PENDING_MANUAL_GENERATION,,triangle-strategy
7,MS10A_F01_C0_0010_M_RLN_0010.wav,MS10A_F01_C0_0010_M_RLN_0010,6,6,6,7,Roland,main,male,roland,assets/triangle-strategy/approved_voice_references/roland.wav,แต่การทำความรู้จักกับประชาชนนั้นถือเป็นประโยชน์อย่างหนึ่ง อย่างน้อยก็เพื่อความสัมพันธ์ระหว่างเราที่กำลังเบ่งบานกับไฮแซนต์,,,PENDING_MANUAL_GENERATION,,triangle-strategy
8,MS10A_F01_C0_0010_M_SEL_0010.wav,MS10A_F01_C0_0010_M_SEL_0010,7,7,7,8,Serenoa,main,male,serenoa,assets/triangle-strategy/approved_voice_references/serenoa.wav,ยินดีที่ได้พบเช่นกัน เจ้ากำลังจะไปเข้าเฝ้าหัวหน้านักบวชเหรอ?,,,PENDING_MANUAL_GENERATION,,triangle-strategy
9,MS10A_F01_C0_0010_M_SEL_0020.wav,MS10A_F01_C0_0010_M_SEL_0020,8,8,8,9,Serenoa,main,male,serenoa,assets/triangle-strategy/approved_voice_references/serenoa.wav,เข้าใจแล้ว ไม่จำเป็นต้องรีบร้อนหรอก,,,PENDING_MANUAL_GENERATION,,triangle-strategy
10,MS10A_F01_C0_0010_M_SEL_0030.wav,MS10A_F01_C0_0010_M_SEL_0030,9,9,9,10,Serenoa,main,male,serenoa,assets/triangle-strategy/approved_voice_references/serenoa.wav,ระหว่างนี้เราไปสำรวจเมืองกันดีกว่า,,,PENDING_MANUAL_GENERATION,,triangle-strategy
11,MS10A_F01_C0_0010_M_SEL_0040.wav,MS10A_F01_C0_0010_M_SEL_0040,10,10,10,11,Serenoa,main,male,serenoa,assets/triangle-strategy/approved_voice_references/serenoa.wav,ไม่รู้ว่าเราจะถูกเรียกเมื่อไหร่ แม้ว่าข่าวลือจะเป็นเรื่องเล็กน้อยเพียงใด แต่มันจะทำให้เราพร้อมเตรียมใจรับมือกับสิ่งที่รอเราอยู่,,,PENDING_MANUAL_GENERATION,,triangle-strategy
12,MS10A_F01_C0_0010_M_SEL_0050.wav,MS10A_F01_C0_0010_M_SEL_0050,11,11,11,12,Serenoa,main,male,serenoa,assets/triangle-strategy/approved_voice_references/serenoa.wav,ตามใจเจ้าเลย เสร็จธุระเมื่อไหร่ก็กลับมารายงานในสิ่งที่ตัวเองรู้มาก็แล้วกันนะ,,,PENDING_MANUAL_GENERATION,,triangle-strategy
13,MS10A_F01_C0_0020_F_ANA_0010.wav,MS10A_F01_C0_0020_F_ANA_0010,12,12,12,13,Anna,main,female,anna,assets/triangle-strategy/approved_voice_references/anna.wav,ขอพูดตรงๆนะเจ้าคะ ข้ารู้สึก...ไม่ชอบมาพากล,,,PENDING_MANUAL_GENERATION,,triangle-strategy
14,MS10A_F01_C0_0020_F_ANA_0020.wav,MS10A_F01_C0_0020_F_ANA_0020,13,13,13,14,Anna,main,female,anna,assets/triangle-strategy/approved_voice_references/anna.wav,รอบยิ้มไม่ได้สื่อถึงความสุขเสมอไป,,,PENDING_MANUAL_GENERATION,,triangle-strategy
15,MS10A_F01_C0_0020_F_ANA_0030.wav,MS10A_F01_C0_0020_F_ANA_0030,14,14,14,15,Anna,main,female,anna,assets/triangle-strategy/approved_voice_references/anna.wav,มันเป็นไปได้เหรอ ที่เราจะสนองความต้องการของทุกคนได้จริงๆ?,,,PENDING_MANUAL_GENERATION,,triangle-strategy
16,MS10A_F01_C0_0020_F_ANA_0040.wav,MS10A_F01_C0_0020_F_ANA_0040,15,15,15,16,Anna,main,female,anna,assets/triangle-strategy/approved_voice_references/anna.wav,ไม่เสมอไปหรอก พอดีข้าถูกสอนมาว่า ที่ใดมีเสียงหัวเราะ ที่นั่นย่อมมีทุกข์,,,PENDING_MANUAL_GENERATION,,triangle-strategy
17,MS10A_F01_C0_0020_F_ANA_0050.wav,MS10A_F01_C0_0020_F_ANA_0050,16,16,16,17,Anna,main,female,anna,assets/triangle-strategy/approved_voice_references/anna.wav,อาณาจักรแห่งนี้ถูกสร้างขึ้นจากความเสียสละแน่นอน ข้ามั่นใจ,,,PENDING_MANUAL_GENERATION,,triangle-strategy
18,MS10A_F01_C0_0020_F_HEW_0010.wav,MS10A_F01_C0_0020_F_HEW_0010,17,17,17,18,Hughette,main,female,hughette,assets/triangle-strategy/approved_voice_references/hughette.wav,ว่ากันว่าประชาชนที่ได้รับการดูแลอย่างเหมาะสม คือประชาชนที่มีความสุขเจ้าค่ะ,,,PENDING_MANUAL_GENERATION,,triangle-strategy
