line_no,file_name,self_id,cue,sequence,waveform,awb_stream,character_name,role,gender,voice_target,reference_audio,thai_text,pronunciation_note,prosody_note,status,tts_text,voice_project
1,MS09_H01_A0_0010_F_ABR_0010.wav,MS09_H01_A0_0010_F_ABR_0010,0,0,0,1,Avlora,npc,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,ด้วยความเคารพนะเจ้าคะ ข้าคิดว่าราชินีคอร์เดเลียไม่คู่ควรกับการปกครองเกลนบรู๊ค,,,PENDING_MANUAL_GENERATION,,triangle-strategy
2,MS09_H01_A0_0010_F_ABR_0020.wav,MS09_H01_A0_0010_F_ABR_0020,1,1,1,2,Avlora,npc,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,...ข้าไม่อยากยุ่งเกี่ยวในสงครามการเมืองเลย มันโหดร้ายกว่าสงครามใดเสียอีก,,,PENDING_MANUAL_GENERATION,,triangle-strategy
3,MS09_H01_A0_0010_F_CRD_0010.wav,MS09_H01_A0_0010_F_CRD_0010,2,2,2,3,Cordelia,npc,female,cordelia,assets/triangle-strategy/approved_voice_references/cordelia.wav,ราษฎรของข้า... ตอนนี้ทุกอย่างช่างมืดมน เปี่ยมล้นด้วยปัญหามิรู้สิ้น,,,PENDING_MANUAL_GENERATION,,triangle-strategy
4,MS09_H01_A0_0010_F_CRD_0020.wav,MS09_H01_A0_0010_F_CRD_0020,3,3,3,4,Cordelia,npc,female,cordelia,assets/triangle-strategy/approved_voice_references/cordelia.wav,เกลนบรู๊คและเอสฟรอสต์ต่างสูญเสียไปนับไม่ถ้วน,,,PENDING_MANUAL_GENERATION,,triangle-strategy
5,MS09_H01_A0_0010_F_CRD_0030.wav,MS09_H01_A0_0010_F_CRD_0030,4,4,4,5,Cordelia,npc,female,cordelia,assets/triangle-strategy/approved_voice_references/cordelia.wav,และเราเองก็สูญเสียองค์ชายผู้เป็นที่รักทั้งสองไป...,,,PENDING_MANUAL_GENERATION,,triangle-strategy
6,MS09_H01_A0_0010_F_CRD_0040.wav,MS09_H01_A0_0010_F_CRD_0040,5,5,5,6,Cordelia,npc,female,cordelia,assets/triangle-strategy/approved_voice_references/cordelia.wav,ข้าขอแสดงความเสียใจอย่างสุดซึ้ง ขอให้พวกเขาไปสู่สุคติด้วยเถิด...,,,PENDING_MANUAL_GENERATION,,triangle-strategy
7,MS09_H01_A0_0010_F_CRD_0050.wav,MS09_H01_A0_0010_F_CRD_0050,6,6,6,7,Cordelia,npc,female,cordelia,assets/triangle-strategy/approved_voice_references/cordelia.wav,อย่างที่พวกท่านทราบ พ่อของข้าถูกตัดสินประหารชีวิตเพราะมีส่วนร่วมในเหตุสลดครั้งนี้,,,PENDING_MANUAL_GENERATION,,triangle-strategy
8,MS09_H01_A0_0010_F_CRD_0060.wav,MS09_H01_A0_0010_F_CRD_0060,7,7,7,8,Cordelia,npc,female,cordelia,assets/triangle-strategy/approved_voice_references/cordelia.wav,แต่เราจะจัดการกับความเศร้าหมองและแค้นเคืองยังไง? มีทางใดที่สามารถชดใช้ความผิดของเราได้บ้าง?,,,PENDING_MANUAL_GENERATION,,triangle-strategy
9,MS09_H01_A0_0010_F_CRD_0070.wav,MS09_H01_A0_0010_F_CRD_0070,8,8,8,9,Cordelia,npc,female,cordelia,assets/triangle-strategy/approved_voice_references/cordelia.wav,ให้เรายอมรับความผิดของตน พร้อมก้าวเดินไปข้างหน้า,,,PENDING_MANUAL_GENERATION,,triangle-strategy
10,MS09_H01_A0_0010_F_CRD_0080.wav,MS09_H01_A0_0010_F_CRD_0080,9,9,9,10,Cordelia,npc,female,cordelia,assets/triangle-strategy/approved_voice_references/cordelia.wav,อาร์ชดยุกได้เผื่อแผ่ มอบโอกาสให้เราอีกครั้งหนึ่ง,,,PENDING_MANUAL_GENERATION,,triangle-strategy
11,MS09_H01_A0_0010_F_CRD_0090.wav,MS09_H01_A0_0010_F_CRD_0090,10,10,10,11,Cordelia,npc,female,cordelia,assets/triangle-strategy/approved_voice_references/cordelia.wav,โอกาสที่เกลนบรู๊คจะมีอนาคตที่ดี และเป็นอิสระ,,,PENDING_MANUAL_GENERATION,,triangle-strategy
12,MS09_H01_A0_0010_F_CRD_0100.wav,MS09_H01_A0_0010_F_CRD_0100,11,11,11,12,Cordelia,npc,female,cordelia,assets/triangle-strategy/approved_voice_references/cordelia.wav,ในฐานะราชินีแห่งอาณาจักรนี้ ข้า... คอร์เดเลียแห่งเกลนบรู๊ค...,,,PENDING_MANUAL_GENERATION,,triangle-strategy
