line_no,file_name,self_id,cue,sequence,waveform,awb_stream,character_name,role,gender,voice_target,reference_audio,thai_text,pronunciation_note,prosody_note,status,tts_text,voice_project
1,MS17_H01_A0_0010_F_ANA_0010.wav,MS17_H01_A0_0010_F_ANA_0010,0,0,0,1,Anna,main,female,anna,assets/triangle-strategy/approved_voice_references/anna.wav,พวกเขาไม่ยอมให้ใครมาลบหลู่คำสอนแน่นอน,,,PENDING_MANUAL_GENERATION,,triangle-strategy
2,MS17_H01_A0_0010_F_FRE_0010.wav,MS17_H01_A0_0010_F_FRE_0010,1,1,1,2,Frederica,main,female,frederica,assets/triangle-strategy/approved_voice_references/frederica.wav,หากเรื่องนี้ถึงหูไฮแซนต์เข้า มีหวังพวกเขาคงโกรธเลือดขึ้นหน้า...,,,PENDING_MANUAL_GENERATION,,triangle-strategy
3,MS17_H01_A0_0010_F_HEW_0010.wav,MS17_H01_A0_0010_F_HEW_0010,2,2,2,3,Hughette,main,female,hughette,assets/triangle-strategy/approved_voice_references/hughette.wav,เอสฟรอสต์เองคงไม่ยอมจำนนง่ายๆเช่นกัน,,,PENDING_MANUAL_GENERATION,,triangle-strategy
4,MS17_H01_A0_0010_F_YRA_0010.wav,MS17_H01_A0_0010_F_YRA_0010,3,3,3,4,Geela,main,female,geela,assets/triangle-strategy/approved_voice_references/geela.wav,ข้าคิดว่าเราควรเลิกกลัว แล้วหาวิธีรับมือหลังจากที่ข่าวถึงหูคนอื่นแล้วดีกว่าเจ้าค่ะ,,,PENDING_MANUAL_GENERATION,,triangle-strategy
5,MS17_H01_A0_0010_F_YRA_0020.wav,MS17_H01_A0_0010_F_YRA_0020,4,4,4,5,Geela,main,female,geela,assets/triangle-strategy/approved_voice_references/geela.wav,ไม่ว่าเราจะปกป้องเกลือหรือหาวิธีอื่นเพื่อใช้มัน เราต้องรีบลงมือโดยเร็ว,,,PENDING_MANUAL_GENERATION,,triangle-strategy
6,MS17_H01_A0_0010_M_BND_0010.wav,MS17_H01_A0_0010_M_BND_0010,5,5,5,6,Benedict,main,male,benedict,assets/triangle-strategy/approved_voice_references/benedict.wav,เราต้องคิดให้ดี เพราะมันมีอำนาจในการพลิกโฉมนอร์เซเลียทั้งแผ่นดิน,,,PENDING_MANUAL_GENERATION,,triangle-strategy
7,MS17_H01_A0_0010_M_BND_0020.wav,MS17_H01_A0_0010_M_BND_0020,6,6,6,7,Benedict,main,male,benedict,assets/triangle-strategy/approved_voice_references/benedict.wav,นี่คือโอกาสปฏิรูปดินแดนเพื่อผลประโยชน์ของเรา ต้องวางกลยุทธ์ให้ดีขอรับ,,,PENDING_MANUAL_GENERATION,,triangle-strategy
8,MS17_H01_A0_0010_M_BND_0030.wav,MS17_H01_A0_0010_M_BND_0030,7,7,7,8,Benedict,main,male,benedict,assets/triangle-strategy/approved_voice_references/benedict.wav,ข้าชื่นชมในความรอบคอบของท่าน แต่ในสถานการณ์เช่นนี้...ความลังเลจะทำให้เราสูญเสียทุกอย่างนะขอรับ,,,PENDING_MANUAL_GENERATION,,triangle-strategy
9,MS17_H01_A0_0010_M_BND_0040.wav,MS17_H01_A0_0010_M_BND_0040,8,8,8,9,Benedict,main,male,benedict,assets/triangle-strategy/approved_voice_references/benedict.wav,...ตามนั้นขอรับ ช่วยเร่งมือด้วยนะ,,,PENDING_MANUAL_GENERATION,,triangle-strategy
10,MS17_H01_A0_0010_M_ELA_0010.wav,MS17_H01_A0_0010_M_ELA_0010,9,9,9,10,Erador,main,male,erador,assets/triangle-strategy/approved_voice_references/erador.wav,สถานการณ์เช่นนี้ล่อเป้ามากเลยนะท่าน! หากยังครองเกลืออยู่เช่นนี้มีหวังเราอยู่ไม่สุขแน่,,,PENDING_MANUAL_GENERATION,,triangle-strategy
11,MS17_H01_A0_0010_M_RLN_0020.wav,MS17_H01_A0_0010_M_RLN_0020,11,11,11,12,Roland,main,male,roland,assets/triangle-strategy/approved_voice_references/roland.wav,การตัดสินใจครั้งนี้สำคัญมาก ไม่ใช่เพื่ออาณาจักรแต่เป็นนอร์เซเลีย ซึ่งการตัดสินใจของเราจะส่งผลกระทบต่อชีวิตทุกคน,,,PENDING_MANUAL_GENERATION,,triangle-strategy
12,MS17_H01_A0_0010_M_RLN_0030.wav,MS17_H01_A0_0010_M_RLN_0030,12,12,12,13,Roland,main,male,roland,assets/triangle-strategy/approved_voice_references/roland.wav,ข้าก็อยากรีบตัดสินใจอยู่หรอก แต่ข้าขอเวลาสักพักได้ไหม,,,PENDING_MANUAL_GENERATION,,triangle-strategy
13,MS17_H01_A0_0010_M_RLN_0040.wav,MS17_H01_A0_0010_M_RLN_0040,13,13,13,14,Roland,main,male,roland,assets/triangle-strategy/approved_voice_references/roland.wav,ข้ารู้ แต่จะให้ด่วนตัดสินแล้วทำทุกคนเดือดร้อนมันก็ไม่ใช่เรื่องไง,,,PENDING_MANUAL_GENERATION,,triangle-strategy
14,MS17_H01_A0_0010_M_RLN_0050.wav,MS17_H01_A0_0010_M_RLN_0050,14,14,14,15,Roland,main,male,roland,assets/triangle-strategy/approved_voice_references/roland.wav,เซเรโนอา ช่วยตอบข้าที...,,,PENDING_MANUAL_GENERATION,,triangle-strategy
