line_no,file_name,self_id,cue,sequence,waveform,awb_stream,character_name,role,gender,voice_target,reference_audio,thai_text,pronunciation_note,prosody_note,status,tts_text,voice_project
1,MS21S_X48_A0_0010_F_ANA_0010.wav,MS21S_X48_A0_0010_F_ANA_0010,0,0,0,1,Anna,main,female,anna,assets/triangle-strategy/approved_voice_references/anna.wav,แน่นอนเจ้าค่ะ เราต้องสนับสนุนแผนการของพวกเขาสุดความสามารถ,,,PENDING_MANUAL_GENERATION,,triangle-strategy
2,MS21S_X48_A0_0010_F_ANA_0020.wav,MS21S_X48_A0_0010_F_ANA_0020,1,1,1,2,Anna,main,female,anna,assets/triangle-strategy/approved_voice_references/anna.wav,เดี๋ยวเสร็จธุระก็คงตามมาเจ้าค่ะ,,,PENDING_MANUAL_GENERATION,,triangle-strategy
3,MS21S_X48_A0_0010_F_FRE_0010.wav,MS21S_X48_A0_0010_F_FRE_0010,2,2,2,3,Frederica,main,female,frederica,assets/triangle-strategy/approved_voice_references/frederica.wav,อุ้ยตาย! เจ้าไหวไหมเนี่ย?,,,PENDING_MANUAL_GENERATION,,triangle-strategy
4,MS21S_X48_A0_0010_F_FRE_0020.wav,MS21S_X48_A0_0010_F_FRE_0020,3,3,3,4,Frederica,main,female,frederica,assets/triangle-strategy/approved_voice_references/frederica.wav,ไม่คิดมาก่อนเลยนะ ว่าจะมีวันที่คนของข้าถูกต้อนรับจากทุกคน... สุดท้ายฝันของข้าก็เป็นจริงแล้วล่ะ,,,PENDING_MANUAL_GENERATION,,triangle-strategy
5,MS21S_X48_A0_0010_F_FRE_0030.wav,MS21S_X48_A0_0010_F_FRE_0030,4,4,4,5,Frederica,main,female,frederica,assets/triangle-strategy/approved_voice_references/frederica.wav,เจ้าค่ะท่านอา แล้วเอสฟรอสต์เป็นยังไงบ้างเจ้าคะ?,,,PENDING_MANUAL_GENERATION,,triangle-strategy
6,MS21S_X48_A0_0010_F_FRE_0040.wav,MS21S_X48_A0_0010_F_FRE_0040,5,5,5,6,Frederica,main,female,frederica,assets/triangle-strategy/approved_voice_references/frederica.wav,ยินดีต้อนรับเจ้าค่ะรัฐมนตรีไลล่า... เดินทางไม่ลำบากใช่ไหมเจ้าคะ?,,,PENDING_MANUAL_GENERATION,,triangle-strategy
7,MS21S_X48_A0_0010_F_FRE_0050.wav,MS21S_X48_A0_0010_F_FRE_0050,6,6,6,7,Frederica,main,female,frederica,assets/triangle-strategy/approved_voice_references/frederica.wav,ท่านเหมาะสมอยู่แล้ว เพราะหลังจากที่ชาวไฮแซนต์สูญเสียสิ่งที่ตนเคยศรัทธาไปจนสิ้น ก็มีเพียงท่านที่หลอมรวมพวกเขาไว้ด้วยกัน,,,PENDING_MANUAL_GENERATION,,triangle-strategy
8,MS21S_X48_A0_0010_F_FRE_0060.wav,MS21S_X48_A0_0010_F_FRE_0060,7,7,7,8,Frederica,main,female,frederica,assets/triangle-strategy/approved_voice_references/frederica.wav,เขากำลังคุยเรื่องเหมืองคริสตัลเกลือกับเบเนดิกต์ ที่ปราสาทวูล์ฟฟอร์ตเจ้าค่ะ,,,PENDING_MANUAL_GENERATION,,triangle-strategy
9,MS21S_X48_A0_0010_F_LYL_0010.wav,MS21S_X48_A0_0010_F_LYL_0010,8,8,8,9,Lyla,npc,female,lyla,assets/triangle-strategy/approved_voice_references/lyla.wav,แหมๆ ไม่อยากเชื่อเลยว่าจะได้เห็นผู้แทนอาณาจักรมาพูดคุยสบายๆ กลางแจ้งเช่นนี้... ช่างเป็นโลกที่ดีจริงๆ เลยนะเจ้าคะ,,,PENDING_MANUAL_GENERATION,,triangle-strategy
10,MS21S_X48_A0_0010_F_LYL_0020.wav,MS21S_X48_A0_0010_F_LYL_0020,9,9,9,10,Lyla,npc,female,lyla,assets/triangle-strategy/approved_voice_references/lyla.wav,ทีแรกข้าตกใจมากเลยล่ะ ฝ่าบาทโรแลนด์เชิญข้ามาด้วยตัวเองเลย,,,PENDING_MANUAL_GENERATION,,triangle-strategy
11,MS21S_X48_A0_0010_F_LYL_0030.wav,MS21S_X48_A0_0010_F_LYL_0030,10,10,10,11,Lyla,npc,female,lyla,assets/triangle-strategy/approved_voice_references/lyla.wav,เอาจริงๆ ข้าไม่กล้าตอบรับคำเชิญของเขาด้วยซ้ำ เพราะหลังจากทุกสิ่งที่ข้าทำไป ข้าไม่คิดว่าตัวเองจะเหมาะสมในการดำรงตำแหน่งสูงส่งเช่นนี้เจ้าค่ะ...,,,PENDING_MANUAL_GENERATION,,triangle-strategy
12,MS21S_X48_A0_0010_F_LYL_0040.wav,MS21S_X48_A0_0010_F_LYL_0040,11,11,11,12,Lyla,npc,female,lyla,assets/triangle-strategy/approved_voice_references/lyla.wav,...ขอบคุณนะที่รู้สึกเช่นนั้น แต่จริงๆแล้ว...ข้าต่างหากที่ถูกช่วยไว้,,,PENDING_MANUAL_GENERATION,,triangle-strategy
13,MS21S_X48_A0_0010_F_YRA_0010.wav,MS21S_X48_A0_0010_F_YRA_0010,12,12,12,13,Geela,main,female,geela,assets/triangle-strategy/approved_voice_references/geela.wav,พวกเขาอาจต้องใช้เวลาปรับตัวสักหน่อย แต่ตอนนี้ข้ากลับรู้สึกเหมือนชาวโรเซลล์สนิทสนมกับทุกคน ราวกับเป็นชาวเมืองที่นี่มาโดยตลอดเจ้าค่ะ,,,PENDING_MANUAL_GENERATION,,triangle-strategy
14,MS21S_X48_A0_0010_F_YRA_0020.wav,MS21S_X48_A0_0010_F_YRA_0020,13,13,13,14,Geela,main,female,geela,assets/triangle-strategy/approved_voice_references/geela.wav,แถมท่านยังแบ่งปันงานวิจัยแก่สาธารณชนอีกด้วย ท่านช่วยชีวิตผู้คนได้มากมายเลยนะ,,,PENDING_MANUAL_GENERATION,,triangle-strategy
15,MS21S_X48_A0_0010_M_ELA_0010.wav,MS21S_X48_A0_0010_M_ELA_0010,14,14,14,15,Erador,main,male,erador,assets/triangle-strategy/approved_voice_references/erador.wav,อืม หากถูกอย่างลงตัว... ลอร์ดเซเรโนอากับฝ่าบาทโรแลนด์จะได้ชี้นำทุกคนไปพร้อมกันเสียที,,,PENDING_MANUAL_GENERATION,,triangle-strategy
16,MS21S_X48_A0_0010_M_ELA_0020.wav,MS21S_X48_A0_0010_M_ELA_0020,15,15,15,16,Erador,main,male,erador,assets/triangle-strategy/approved_voice_references/erador.wav,โล่งใจจริงๆ นะขอรับ,,,PENDING_MANUAL_GENERATION,,triangle-strategy
17,MS21S_X48_A0_0010_M_M367_0010.wav,MS21S_X48_A0_0010_M_M367_0010,16,16,16,17,เด็กชาย / NPC,generic,male,MALE_CHILD_A,assets/triangle-strategy/approved_voice_references/MALE_CHILD_A.wav,เดี๋ยวก่อนสิ! รอข้าด้วยยย!,,,PENDING_MANUAL_GENERATION,,triangle-strategy
18,MS21S_X48_A0_0010_M_M367_0020.wav,MS21S_X48_A0_0010_M_M367_0020,17,17,17,18,เด็กชาย / NPC,generic,male,MALE_CHILD_A,assets/triangle-strategy/approved_voice_references/MALE_CHILD_A.wav,อือฮึ!,,,PENDING_MANUAL_GENERATION,,triangle-strategy
19,MS21S_X48_A0_0010_M_M367_0030.wav,MS21S_X48_A0_0010_M_M367_0030,18,18,18,19,เด็กชาย / NPC,generic,male,MALE_CHILD_A,assets/triangle-strategy/approved_voice_references/MALE_CHILD_A.wav,ได้เลย!,,,PENDING_MANUAL_GENERATION,,triangle-strategy
20,MS21S_X48_A0_0010_M_M368_0010.wav,MS21S_X48_A0_0010_M_M368_0010,19,19,19,20,เด็กชาย / NPC,generic,male,MALE_CHILD_A,assets/triangle-strategy/approved_voice_references/MALE_CHILD_A.wav,นี่ ไปเล่นซ่อนแอบกันตรงนั้นดีกว่า!,,,PENDING_MANUAL_GENERATION,,triangle-strategy
21,MS21S_X48_A0_0010_M_SVR_0010.wav,MS21S_X48_A0_0010_M_SVR_0010,20,20,20,21,สวาร็อค,npc,male,svarog,assets/triangle-strategy/approved_voice_references/svarog.wav,เฟรเดอริก้า ดีใจที่ได้เจอหลานอีกครั้งนะ ดูเหมือนเกลนบรู๊คจะเริ่มตั้งหลักได้แล้วงั้นสิ?,,,PENDING_MANUAL_GENERATION,,triangle-strategy
22,MS21S_X48_A0_0010_M_SVR_0020.wav,MS21S_X48_A0_0010_M_SVR_0020,21,21,21,22,สวาร็อค,npc,male,svarog,assets/triangle-strategy/approved_voice_references/svarog.wav,ทีแรกมันก็มีพวกสนับสนุนกุสตาดอล์ฟมาต่อต้านข้าบ้างแหละ แต่พอเวลาผ่านไปพวกเขาก็ปล่อยวางกันได้แล้ว,,,PENDING_MANUAL_GENERATION,,triangle-strategy
23,MS21S_X48_A0_0010_M_SVR_0030.wav,MS21S_X48_A0_0010_M_SVR_0030,22,22,22,23,สวาร็อค,npc,male,svarog,assets/triangle-strategy/approved_voice_references/svarog.wav,ใช่ไหมล่ะ,,,PENDING_MANUAL_GENERATION,,triangle-strategy
24,MS21S_X48_A0_0010_M_SVR_0040.wav,MS21S_X48_A0_0010_M_SVR_0040,23,23,23,24,สวาร็อค,npc,male,svarog,assets/triangle-strategy/approved_voice_references/svarog.wav,ข้าไม่อยากทำให้เอสฟรอสต์แปดเปื้อนไปมากกว่านี้แล้ว ดราแกนเองก็คงเห็นด้วยเช่นกัน,,,PENDING_MANUAL_GENERATION,,triangle-strategy
25,MS21S_X48_A0_0010_M_SVR_0050.wav,MS21S_X48_A0_0010_M_SVR_0050,24,24,24,25,สวาร็อค,npc,male,svarog,assets/triangle-strategy/approved_voice_references/svarog.wav,ฮ่าๆ! ไว้ค่อยคุยกันทีหลังก็ได้ ตอนนี้เราเดินทางไปปราสาทกันก่อนดีกว่า,,,PENDING_MANUAL_GENERATION,,triangle-strategy
26,MS21S_X48_A0_0010_M_SVR_0060.wav,MS21S_X48_A0_0010_M_SVR_0060,25,25,25,26,สวาร็อค,npc,male,svarog,assets/triangle-strategy/approved_voice_references/svarog.wav,ว่าที่สามีของเจ้าอยู่ไหนแล้วล่ะ เฟรเดอริก้า?,,,PENDING_MANUAL_GENERATION,,triangle-strategy
27,MS21S_X48_A0_0010_M_SVR_0070.wav,MS21S_X48_A0_0010_M_SVR_0070,26,26,26,27,สวาร็อค,npc,male,svarog,assets/triangle-strategy/approved_voice_references/svarog.wav,ลอร์ดเซเรโนอาเป็นเด็กหนุ่มที่ร้อนแรงเสมอเลยนะ ฮ่าๆ!,,,PENDING_MANUAL_GENERATION,,triangle-strategy
