line_no,file_name,self_id,cue,sequence,waveform,awb_stream,character_name,role,gender,voice_target,reference_audio,thai_text,pronunciation_note,prosody_note,status,tts_text,voice_project
1,MS07_H01_A0_0010_F_CRD_0030.wav,MS07_H01_A0_0010_F_CRD_0030,2,2,2,3,คอร์เดเลีย,npc,female,cordelia,assets/triangle-strategy/approved_voice_references/cordelia.wav,ท่านพ่อ...,,,PENDING_MANUAL_GENERATION,,triangle-strategy
2,MS07_H01_A0_0010_F_ERK_0010.wav,MS07_H01_A0_0010_F_ERK_0010,3,3,3,4,เอริก้า,npc,female,erika,assets/triangle-strategy/approved_voice_references/erika.wav,ขอบใจที่มาส่งนะ ตอนนี้เจ้าไปได้แล้วล่ะ,,,PENDING_MANUAL_GENERATION,,triangle-strategy
3,MS07_H01_A0_0010_F_ERK_0020.wav,MS07_H01_A0_0010_F_ERK_0020,4,4,4,5,เอริก้า,npc,female,erika,assets/triangle-strategy/approved_voice_references/erika.wav,ถ้างั้นช่วยนำไวน์เลิศรสกับผลไม้สดไปวางไว้ที่ห้องข้าด้วย,,,PENDING_MANUAL_GENERATION,,triangle-strategy
4,MS07_H01_A0_0010_F_ERK_0030.wav,MS07_H01_A0_0010_F_ERK_0030,5,5,5,6,เอริก้า,npc,female,erika,assets/triangle-strategy/approved_voice_references/erika.wav,เอาอกเอาใจเก่งเหลือเกินนะคนนี้,,,PENDING_MANUAL_GENERATION,,triangle-strategy
5,MS07_H01_A0_0010_F_ERK_0040.wav,MS07_H01_A0_0010_F_ERK_0040,6,6,6,7,เอริก้า,npc,female,erika,assets/triangle-strategy/approved_voice_references/erika.wav,แคว้นอื่นๆ เริ่มต่อต้านกันบ้างแล้วเจ้าค่ะ,,,PENDING_MANUAL_GENERATION,,triangle-strategy
6,MS07_H01_A0_0010_F_ERK_0050.wav,MS07_H01_A0_0010_F_ERK_0050,7,7,7,8,เอริก้า,npc,female,erika,assets/triangle-strategy/approved_voice_references/erika.wav,ลอร์ดเทลลิออร์สั่นกลัวอยู่ในแคว้นของตน ส่วนลอร์ดฟ็อลคส์ก็ไม่รู้เรื่องอะไรทั้งนั้นจนกระทั่งมันสายไปแล้ว,,,PENDING_MANUAL_GENERATION,,triangle-strategy
7,MS07_H01_A0_0010_F_ERK_0060.wav,MS07_H01_A0_0010_F_ERK_0060,8,8,8,9,เอริก้า,npc,female,erika,assets/triangle-strategy/approved_voice_references/erika.wav,หมายความว่าไงเจ้าคะ?,,,PENDING_MANUAL_GENERATION,,triangle-strategy
8,MS07_H01_A0_0010_M_GST_0010.wav,MS07_H01_A0_0010_M_GST_0010,9,9,9,10,กุสตาดอล์ฟ,npc,male,gustadolph,,เรียบร้อยแล้ว,,,BLOCKED_PENDING_REFERENCE_AUDIO,,triangle-strategy
9,MS07_H01_A0_0010_M_GST_0020.wav,MS07_H01_A0_0010_M_GST_0020,10,10,10,11,กุสตาดอล์ฟ,npc,male,gustadolph,,วูล์ฟฟอร์ตจะถูกกำจัดเป็นตระกูลสุดท้าย เดี๋ยวอัฟโลร่าจัดการส่วนนี้ให้ องค์ชายโรแลนด์จะเป็นของเราในอีกไม่ช้า,,,BLOCKED_PENDING_REFERENCE_AUDIO,,triangle-strategy
10,MS07_H01_A0_0010_M_GST_0030.wav,MS07_H01_A0_0010_M_GST_0030,11,11,11,12,กุสตาดอล์ฟ,npc,male,gustadolph,,นั่นแหละคือสิ่งที่ข้าต้องการ,,,BLOCKED_PENDING_REFERENCE_AUDIO,,triangle-strategy
11,MS07_H01_A0_0010_M_GST_0040.wav,MS07_H01_A0_0010_M_GST_0040,12,12,12,13,กุสตาดอล์ฟ,npc,male,gustadolph,,เมื่อทุกอย่างสงบลง ข้าจะให้นางครองราชย์พร้อมองครักษ์ข้างกาย,,,BLOCKED_PENDING_REFERENCE_AUDIO,,triangle-strategy
12,MS07_H01_A0_0010_M_GST_0050.wav,MS07_H01_A0_0010_M_GST_0050,13,13,13,14,กุสตาดอล์ฟ,npc,male,gustadolph,,ข้าจะประหารเร็กน่าในอีกไม่กี่วันต่อจากนี้ รวมถึงแจ้งให้พาทริเอ็ทท์ทราบแล้วด้วย,,,BLOCKED_PENDING_REFERENCE_AUDIO,,triangle-strategy
13,MS07_H01_A0_0010_M_PTR_0010.wav,MS07_H01_A0_0010_M_PTR_0010,14,14,14,15,พาทริเอ็ทท์,npc,male,patriatte,,ญาติผู้มีเกียรติของท่าน ลอร์ดธาลาส และ ท่านหญิงเอริก้า มาถึงแล้วขอรับ,,,BLOCKED_PENDING_REFERENCE_AUDIO,,triangle-strategy
14,MS07_H01_A0_0010_M_PTR_0020.wav,MS07_H01_A0_0010_M_PTR_0020,15,15,15,16,พาทริเอ็ทท์,npc,male,patriatte,,หากท่านต้องการสิ่งใด โปรดเรียกข้าได้เลยนะขอรับ,,,BLOCKED_PENDING_REFERENCE_AUDIO,,triangle-strategy
15,MS07_H01_A0_0010_M_PTR_0030.wav,MS07_H01_A0_0010_M_PTR_0030,16,16,16,17,พาทริเอ็ทท์,npc,male,patriatte,,ขอรับนายหญิง จะบอกคนใช้ให้จัดการทันทีขอรับ,,,BLOCKED_PENDING_REFERENCE_AUDIO,,triangle-strategy
16,MS07_H01_A0_0010_M_TRS_0010.wav,MS07_H01_A0_0010_M_TRS_0010,17,17,17,18,ธาลาส,npc,male,thalas,assets/triangle-strategy/approved_voice_references/thalas.wav,"ข้าคิดว่าเจ้าควรพูดว่า ""เลียแข้งเลียขา"" มากกว่านะ",,,PENDING_MANUAL_GENERATION,,triangle-strategy
