line_no,file_name,self_id,cue,sequence,waveform,awb_stream,character_name,role,gender,voice_target,reference_audio,thai_text,pronunciation_note,prosody_note,status,tts_text,voice_project
1,MS03_H01_A0_0010_F_ABR_0010.wav,MS03_H01_A0_0010_F_ABR_0010,0,0,0,1,อัฟโลร่า,npc,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,ข้าขอโทษแทนพวกเขาทั้งสองด้วยนะ วันนี้เป็นวันที่ดีของทุกคนจริงๆ,,,PENDING_MANUAL_GENERATION,,triangle-strategy
2,MS03_H01_A0_0010_F_ERK_0010.wav,MS03_H01_A0_0010_F_ERK_0010,1,1,1,2,เอริก้า,npc,female,erika,assets/triangle-strategy/approved_voice_references/erika.wav,ลาก่อน เฟรเดอริก้า ขออย่าให้เจอกันอีก,,,PENDING_MANUAL_GENERATION,,triangle-strategy
3,MS03_H01_A0_0010_F_LYL_0010.wav,MS03_H01_A0_0010_F_LYL_0010,3,3,3,4,ไลล่า,npc,female,lyla,assets/triangle-strategy/approved_voice_references/lyla.wav,ขอบคุณที่ต้อนรับเราอย่างดี ฝากความคิดถึงให้ลอร์ดซีมอนด้วยนะ,,,PENDING_MANUAL_GENERATION,,triangle-strategy
4,MS03_H01_A0_0010_M_BND_0010.wav,MS03_H01_A0_0010_M_BND_0010,4,4,4,5,เบเนดิกต์,main,male,benedict,assets/triangle-strategy/approved_voice_references/benedict.wav,หน้าที่สุดท้ายของท่านในวันนี้คือการส่งแขกกลับบ้านขอรับ ข้าขอเตือนท่านไว้ก่อนว่า...,,,PENDING_MANUAL_GENERATION,,triangle-strategy
5,MS03_H01_A0_0010_M_BND_0020.wav,MS03_H01_A0_0010_M_BND_0020,5,5,5,6,เบเนดิกต์,main,male,benedict,assets/triangle-strategy/approved_voice_references/benedict.wav,ถือเป็นเกียรติมากเลยนะขอรับ ท่านจะได้เป็นตัวแทนของอาณาจักร และจะได้พูดแทนพระองค์ด้วย,,,PENDING_MANUAL_GENERATION,,triangle-strategy
6,MS03_H01_A0_0010_M_BND_0030.wav,MS03_H01_A0_0010_M_BND_0030,6,6,6,7,เบเนดิกต์,main,male,benedict,assets/triangle-strategy/approved_voice_references/benedict.wav,ฝ่าบาททรงมอบหมายการตัดสินใจนี้แก่ท่านขอรับ ท่านน่าจะรู้ใช่ไหมว่าทำไม?,,,PENDING_MANUAL_GENERATION,,triangle-strategy
7,MS03_H01_A0_0010_M_BND_0040.wav,MS03_H01_A0_0010_M_BND_0040,7,7,7,8,เบเนดิกต์,main,male,benedict,assets/triangle-strategy/approved_voice_references/benedict.wav,ถูกต้องขอรับ พวกเราเป็นพันธมิตรกันแล้ว ไม่ว่าจะเลือกอาณาจักรใด เขาก็ไม่ขุ่นเคืองหรอก,,,PENDING_MANUAL_GENERATION,,triangle-strategy
8,MS03_H01_A0_0010_M_BND_0042.wav,MS03_H01_A0_0010_M_BND_0042,8,8,8,9,เบเนดิกต์,main,male,benedict,assets/triangle-strategy/approved_voice_references/benedict.wav,ถึงจะพูดเช่นนั้น แต่ก็คงบอกไม่ได้ว่ามันจะกระทบความสัมพันธ์ในอนาคตรึเปล่า,,,PENDING_MANUAL_GENERATION,,triangle-strategy
9,MS03_H01_A0_0010_M_BND_0047.wav,MS03_H01_A0_0010_M_BND_0047,9,9,9,10,เบเนดิกต์,main,male,benedict,assets/triangle-strategy/approved_voice_references/benedict.wav,แน่นอนว่าสิ่งที่ท่านเลือกจะส่งผลต่อความสัมพันธ์ระหว่างอาณาจักรกับตระกูลของเรา,,,PENDING_MANUAL_GENERATION,,triangle-strategy
10,MS03_H01_A0_0010_M_BND_0050.wav,MS03_H01_A0_0010_M_BND_0050,10,10,10,11,เบเนดิกต์,main,male,benedict,assets/triangle-strategy/approved_voice_references/benedict.wav,ขอรับ นายท่าน,,,PENDING_MANUAL_GENERATION,,triangle-strategy
